headline,sentiment_label,date,stock
"Subscribers of China Unicom , the nation 's second largest mobile phone operator after China Mobile , are expected to release pictures , videos and blog on the Internet via mobile phones as of March 2008 .",neutral,2018-06-25,TSLA
The company is well positioned in Brazil and Uruguay .,positive,2018-06-26,AAPL
"To ensure low operational cost for radio networks , the BTS modules can be configured , software upgraded and diagnosed remotely .",positive,2018-06-26,TSLA
Also the traditional grapevine carries a lot of weight .,neutral,2018-06-26,NVDA
"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors .",neutral,2018-06-27,NVDA
The goal will be achieved via organic growth possibly supplemented by acquisitions .,neutral,2018-06-27,NVDA
"Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago .",positive,2018-06-27,AAPL
"Most of the new substations support EDGE technology , which enables faster data traffic .",neutral,2018-06-28,AAPL
Export accounts for about one tenth of the company 's annual turnover of one billion kroons .,neutral,2018-06-29,NVDA
"Rinkuskiai 's beer sales fell by 6.5 per cent to 4.16 million litres , while Kauno Alus ' beer sales jumped by 6.9 per cent to 2.48 million litres .",neutral,2018-06-29,AAPL
The company has a wide selection of metal products and services .,neutral,2018-06-29,NVDA
No pricing details were disclosed .,neutral,2018-06-29,TSLA
Finnish component supplier Componenta Corporation ( OMX Helsinki : CTH1V ) reported on Tuesday ( 15 July ) an operating profit of EUR46 .2 m on net sales of EUR386 .0 m for the financial period January-June 2008 .,neutral,2018-07-02,AAPL
Otherwise the situation is under control .,neutral,2018-07-02,NVDA
"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .",negative,2018-07-02,NVDA
The company expects meat purchases to remain at about 8mn kilos in 2011 .,neutral,2018-07-02,AAPL
Cameco is to provide an upfront investment of up to USD 60mn for the construction of the uranium extraction circuit .,neutral,2018-07-02,AAPL
"The Basware Connectivity services allow companies to handle purchase to pay processes online and make their internal processes more efficient , '' said CEO Ilkka Sihvo , Basware Corporation .",positive,2018-07-03,TSLA
"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays .",neutral,2018-07-03,AAPL
Le Lay succeeds Walter G++nter and will be based in Finland .,neutral,2018-07-04,NVDA
The training modules aim at strengthening the public accounting abilities and fulfilling communal project management .,positive,2018-07-04,TSLA
One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard .,neutral,2018-07-04,AAPL
in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year .,positive,2018-07-04,TSLA
"Its annual capacity is some 10,000 MW .",neutral,2018-07-05,TSLA
The dividends payable annually shall be deducted from the share subscription price .,neutral,2018-07-05,TSLA
"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",neutral,2018-07-06,AAPL
"The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to (  x20ac ) 47 million ( $ 61US million ) , from (  x20ac ) 40.8 million a year earlier .",positive,2018-07-06,AAPL
"Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007 , compared to a net loss of 299,000 euro $ 430,000 for the corresponding period of 2006 .",positive,2018-07-10,NVDA
6 October 2010 - Finnish paints and coatings company Tikkurila Oyj HEL : TIK1V announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .,neutral,2018-07-10,TSLA
Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .,positive,2018-07-10,TSLA
"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a",negative,2018-07-10,TSLA
"Body ES Vostok also owns stakes in power sales companies MosenergosbytBody ( RTS : MSSB ) ( 50.9 % ) , Altaienergosbyt ( 100 % ) , Saratovenergo ( RTS : SARE ) Body ( 48.36 % ) and Tambov Power Sales Company ( RTS : TASB ) ( 49.01 % ) , all ofBodywhich it received from the distribution balance .",neutral,2018-07-11,TSLA
The company 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .,neutral,2018-07-12,TSLA
Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .,positive,2018-07-12,AAPL
"Okmetic has a global customer base and sales network , production plants in Finland and the US and contract manufacturers in Japan and China .",neutral,2018-07-13,TSLA
`` With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model .,neutral,2018-07-13,NVDA
"The remainder of its revenues will come from technology agreements with other firms , InterDigital said .",neutral,2018-07-16,TSLA
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",positive,2018-07-16,NVDA
Our tools are specifically designed with the needs of both the business users and ICT experts in mind .,neutral,2018-07-16,TSLA
"The company 's net profit amounted to EE 55.5 mn , which was 36 % more than in 2004 .",positive,2018-07-17,NVDA
"Following the registration , the share capital of Biotie is EUR 52,556,678.10 .",neutral,2018-07-18,AAPL
Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties .,neutral,2018-07-18,TSLA
Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson .,neutral,2018-07-18,NVDA
"`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",positive,2018-07-18,TSLA
Deliveries have started and the network will be ready for a launch soon .,positive,2018-07-19,AAPL
"This could be any of us at any time , '' she said .",neutral,2018-07-19,TSLA
"Ethanol would be made from barley , and production could start in 2008 .",neutral,2018-07-19,AAPL
A spokeswoman for the Italian fashion house declined comment on the settlement .,neutral,2018-07-19,AAPL
"The business goals for 2009 will realize with the temporary lay-offs carried out in the summer of 2009 , and with other savings measures .",neutral,2018-07-19,AAPL
The arrangements do not apply to the group 's units outside Finland .,neutral,2018-07-20,TSLA
"Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .",positive,2018-07-20,TSLA
"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces .",neutral,2018-07-20,TSLA
"After the sale , Outokumpu 's share of the technology unit will be reduced to some 12-20 percent .",neutral,2018-07-20,NVDA
"M-real , which is part of Finnish paper maker Metsaliitto Group , is due to release its second-quarter report at around 12:00 EET on 5 August 2010 .",neutral,2018-07-20,TSLA
"( ADPnews ) - Nov 9 , 2009 - Four companies have agreed to buy for a combined SEK 5.9 billion ( USD 854m-EUR 571.8 m ) all drug stores offered for sale as part of the restructuring of Swedish stated-owned pharmacy monopoly Apoteket AB , t",positive,2018-07-23,TSLA
"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .",positive,2018-07-23,NVDA
Aspo serves demanding business-to-business customers .,neutral,2018-07-23,TSLA
The profit after taxes was EUR 57.7 11.1 million .,neutral,2018-07-23,NVDA
"According to preliminary information by the Finnish Forest Industries Federation , imports of roundwood to Finland increased to about 20 million m3 in 2005 , representing an increase of 15 % from 2004 .",neutral,2018-07-24,AAPL
"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .",neutral,2018-07-24,NVDA
"AHMS will also offer Hotel and Hotel Project Consultancy , Management Services , Brand Franchise , Training and Sales and Marketing services on a pan-India basis .",neutral,2018-07-24,NVDA
The company 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .,neutral,2018-07-24,NVDA
"Neste Oil said that while results from its biomass to 3 liquids demonstration plant , commissioned in June 2009 , have been promising , no decision on a commercial plant has been taken .",neutral,2018-07-25,TSLA
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,positive,2018-07-25,NVDA
7 March 2011 - Finnish IT company Digia Oyj HEL : DIG1V announced today an agreement with mobile-phone major Nokia Oyj HEL : NOK1V to acquire the commercial licensing and service business related to Nokia 's Qt technology .,positive,2018-07-25,AAPL
"The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio .",neutral,2018-07-26,TSLA
Aspocomp intends to set up a plant to manufacture printed circuit boards with an investment of Rs310 crore .,neutral,2018-07-26,NVDA
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",positive,2018-07-27,AAPL
"The Annual General Meeting approved a dividend of EUR 0.10 per share , that is , a total of EUR 7,8 million .",neutral,2018-07-30,AAPL
Finnish home decoration and arts and crafts retailer Tiimari Plc ( OMX Helsinki : TII1V ) reported on Monday ( 18 August ) an operating loss of EUR3 .3 m on net sales of EUR33 .9 m for the period January-June 2008 .,neutral,2018-07-30,NVDA
Yakima created the position for him after emerging from economic downturns of its own .,neutral,2018-07-30,AAPL
"Tyrvaan Sanomat , published twice a week by Tyrvaan Sanomat Oy , appears in Sastamala and Kiikoinen .",neutral,2018-07-31,AAPL
"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % .",negative,2018-07-31,NVDA
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,2018-08-01,NVDA
The StoneGate UTM solution offers protection against inbound and outbound attacks .,positive,2018-08-01,AAPL
"The number of class A shares remains unchanged at 9,526,089 shares .",neutral,2018-08-01,NVDA
Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .,positive,2018-08-01,NVDA
`` The acquisition of Elektros Pavara completes KONE 's market expansion strategy in the Baltic Countries .,positive,2018-08-02,TSLA
"( ADP News ) - Nov 28 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) announced today the launch of OPUS DC , the latest power system in its OPUS product line .",positive,2018-08-02,NVDA
"The Russian government will contribute 20 % of the necessary funds , he said .",neutral,2018-08-02,AAPL
"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 .",positive,2018-08-03,AAPL
"We can choose the most efficient , best overall value option for our customers already at the bidding stage .",positive,2018-08-06,TSLA
"`` Adjustment to the fall in price level , in contrast , has been less effective .",negative,2018-08-07,AAPL
"Amer Sports divests an industrial site in Rumilly , France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .",neutral,2018-08-07,TSLA
"ADPnews - Jun 30 , 2009 - Finnish stainless steel maker Outokumpu Oyj HEL : OUT1V said yesterday it signed a three-year EUR 900 million USD 1.3 bn revolving credit facility .",positive,2018-08-07,TSLA
"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",positive,2018-08-07,TSLA
The service also enables users to watch e-mails in HTML format en is enhanced with 23 addition languages to choose from .,neutral,2018-08-07,NVDA
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,neutral,2018-08-08,AAPL
Rental of building equipment accounted for 88 percent of the operating income .,neutral,2018-08-08,NVDA
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,2018-08-09,TSLA
"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",negative,2018-08-09,NVDA
"The remainder of its revenues will come from technology agreements with other firms , InterDigital said .",neutral,2018-08-10,AAPL
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,neutral,2018-08-10,AAPL
"Laavainen said Benecol was well known in Europe and the US , where it had been in the market for 15 years .",neutral,2018-08-10,NVDA
"Secure your files online Like filling out a tax return , making a backup is boring .",neutral,2018-08-10,AAPL
"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .",neutral,2018-08-13,AAPL
"When this investment is in place , Atria plans to expand into the Moscow market .",neutral,2018-08-13,TSLA
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,2018-08-13,AAPL
"The new company will likely hold an IPO on the NYSE or another international stock exchange , according to Altimo which manages the Alfa Group 's telecommunications assets and TeliaSonera 's agreement , which has been published on the website of the U.S. Securities and Exchange Commission .",neutral,2018-08-13,NVDA
Acquisitions have been made and businesses have been well integrated .,positive,2018-08-13,AAPL
SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,positive,2018-08-14,AAPL
"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008 , compared to EUR 8.4 in the corresponding period in 2007 .",negative,2018-08-14,NVDA
It is now the leading private road ambulance service company in Finland .,positive,2018-08-14,TSLA
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,neutral,2018-08-15,AAPL
"We aim to ensure that Vacon is in good shape when capital expenditure starts to pick up again , '' comments Vacon Plc President and CEO Vesa Laisi .",positive,2018-08-15,NVDA
EPS dropped to EUR0 .2 from EUR0 .3 .,negative,2018-08-15,AAPL
"`` That 's a very high figure on the European scale , '' Noop said , recalling however that this also includes beer bought by Finnish tourists .",neutral,2018-08-17,NVDA
The StoneGate product is centrally manageable and suited for both physical and virtual environments .,neutral,2018-08-17,AAPL
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive,2018-08-17,TSLA
A spokeswoman for the Italian fashion house declined comment on the settlement .,neutral,2018-08-20,NVDA
"Product coverage : baked goods ; biscuits ; breakfast cereals Data coverage : market sizes historic and forecasts , company shares , brand shares and distribution data .",neutral,2018-08-20,NVDA
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",positive,2018-08-20,TSLA
UNC Charlotte would also deploy SSH Tectia Connector to enable secure application connectivity .,neutral,2018-08-21,TSLA
"`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",positive,2018-08-21,AAPL
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products , and operates in Finland .",neutral,2018-08-22,AAPL
"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 .",positive,2018-08-22,TSLA
Implementation of the project will be carried out by the Finnish company YIT in association with the investment fund Evli Property Investment Russia ( EPI ) .,neutral,2018-08-22,AAPL
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",negative,2018-08-22,NVDA
An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,neutral,2018-08-22,NVDA
"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .",positive,2018-08-24,NVDA
"For Teleste , the acquisition marks an entry into services business in a market where it has long been an established and significant supplier of products .",positive,2018-08-24,AAPL
"Operating profit surged to EUR21m from EUR106 ,000 .",positive,2018-08-24,NVDA
Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .,negative,2018-08-24,NVDA
`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .,positive,2018-08-27,NVDA
"`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement .",positive,2018-08-27,AAPL
"Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors .",neutral,2018-08-28,TSLA
"Elcoteq SE Stock Exchange Announcement February 4 , 2009 at 10.00 am ( EET ) Elcoteq will publish its financial statements bulletin 2008 on Wednesday , February 11 , at 9.00 am ( EET ) .",neutral,2018-08-28,NVDA
"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 .",neutral,2018-08-28,AAPL
"The gross area of the Innova 2 project will be about 10,000 sq m ( 107,600 sq ft ) .",neutral,2018-08-29,TSLA
`` Serving customers locally is one of the cornerstones of customer focus for us .,neutral,2018-08-29,TSLA
"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program .",neutral,2018-08-29,TSLA
"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor .",neutral,2018-08-30,AAPL
EPS dropped to EUR0 .2 from EUR0 .3 .,negative,2018-08-31,TSLA
The value of the deal is estimated at between SEK25m and SEK50m .,neutral,2018-09-03,AAPL
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,neutral,2018-09-03,NVDA
"The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April .",neutral,2018-09-04,TSLA
"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 .",negative,2018-09-04,AAPL
Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,positive,2018-09-04,TSLA
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",positive,2018-09-05,TSLA
"The number of class A shares remains unchanged at 9,526,089 shares .",neutral,2018-09-05,TSLA
Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .,positive,2018-09-06,TSLA
The company is well positioned in Brazil and Uruguay .,positive,2018-09-06,TSLA
The writing and publication of Lemmink+Æinen - s history is a continuation of earlier collaboration between Antti Tuuri and the company .,neutral,2018-09-07,TSLA
Rapala VMC Corporation ( Rapala ) is a Finland-based company engaged in the manufacture and distribution of fishing equipment and accessories .,neutral,2018-09-07,AAPL
The value of the confirmed aircraft orders totals EUR 2bn .,neutral,2018-09-10,AAPL
"In Finland , the corresponding service is Alma Media 's Etuovi.com , Finland 's most popular and best known nationwide online service for home and property sales .",neutral,2018-09-11,NVDA
"The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia .",neutral,2018-09-11,TSLA
"As part of the reorganisation , Pohjola Insurance 's 250 field staff for private customers will join the payroll of local cooperative banks from the beginning of October 2008 .",neutral,2018-09-11,TSLA
"For 24-hour news , try ICIS news www.icis.com Click `` trial '' , then ICIS news",neutral,2018-09-11,TSLA
"Deliveries of Nokia 1112 , Nokia 2310 and Nokia 2610 are expected to start in the second quarter of 2006 .",neutral,2018-09-12,NVDA
European traffic grew nearly 30 % .,positive,2018-09-12,TSLA
"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",positive,2018-09-13,AAPL
"They can be used to control the speed of electric motors used by industry and municipal engineering , and in power generation using renewable energy .",neutral,2018-09-13,TSLA
Satama and Trainers ' House will remain as names and independent brands of the business areas .,neutral,2018-09-17,AAPL
"The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April .",neutral,2018-09-18,NVDA
"An additional amount , capped at EUR12m , is payable in cash upon the achievement of certain financial performance targets in 2007 .",neutral,2018-09-18,NVDA
"With the government exempting certain stainless steel products from anti-dumping duties , Finland-based Outokumpu today said it will look to enter into supply pacts with the Indian Railways soon .",neutral,2018-09-18,AAPL
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,positive,2018-09-19,NVDA
Aspo serves demanding business-to-business customers .,neutral,2018-09-19,AAPL
"After the restructuring , UPM 's average paper machine capacity in Europe will be 320,000 tons ( 350,000 short tons ) in coated magazine paper and 420,000 tons ( 460,000 short tons ) in coated fine paper .",neutral,2018-09-20,AAPL
The goal will be achieved via organic growth possibly supplemented by acquisitions .,neutral,2018-09-21,AAPL
The deal was worth about EUR 1.2 mn .,neutral,2018-09-21,TSLA
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive,2018-09-21,AAPL
"Stora Enso Oyj , the largest papermaker , in October said it would close four mills .",negative,2018-09-21,AAPL
in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year .,positive,2018-09-21,AAPL
Following the increase the company+EUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,neutral,2018-09-24,TSLA
"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 .",neutral,2018-09-24,AAPL
"Outokumpu 's steel mill in Tornio , in Finland , is the suspected source .",negative,2018-09-24,NVDA
"According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 .",negative,2018-09-25,AAPL
"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .",neutral,2018-09-25,AAPL
The company is well positioned in Brazil and Uruguay .,positive,2018-09-25,NVDA
"Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier .",negative,2018-09-25,AAPL
Finnish silicon wafers manufacturer Okmetic Oyj said it swung to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier .,positive,2018-09-25,TSLA
"The Annual General Meeting approved a dividend of EUR 0.10 per share , that is , a total of EUR 7,8 million .",neutral,2018-09-27,NVDA
The order also includes extensive maintenance work of a shoe press delivered by Vaahto in 2001 .,neutral,2018-09-27,TSLA
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,neutral,2018-09-27,TSLA
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",positive,2018-09-27,AAPL
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",positive,2018-09-28,AAPL
"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 .",neutral,2018-09-28,NVDA
`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .,positive,2018-09-28,TSLA
"Deliveries of Nokia 1112 , Nokia 2310 and Nokia 2610 are expected to start in the second quarter of 2006 .",neutral,2018-09-28,TSLA
"According to its notice , Skandinaviska Enskilda Banken AB publ Helsinki Branch has on 10 August 2009 divested in total 11,958,000 Alma Media shares to Ilkka-Yhtyma Oyj and Kaleva Kustannus Oy , as the conditions of the agreement made by the companies on 1 July 2009 fulfilled .",neutral,2018-10-01,NVDA
"The shopping center to be opened in St. Petersburg , Russia in November 2010 will turn the cash flow of Finnish department store chain Stockmann 's Russian operations positive for the first time in 2011 .",positive,2018-10-01,AAPL
The value of the total investment is about EUR 600mn .,neutral,2018-10-01,TSLA
"Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur .",neutral,2018-10-01,AAPL
1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) .,positive,2018-10-03,AAPL
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,2018-10-03,TSLA
"According to Ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message .",neutral,2018-10-04,NVDA
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,2018-10-05,NVDA
Travel expenses would be reimbursed in accordance with the travel policy of the company .,neutral,2018-10-08,NVDA
Stora Enso will receive a 19.9 pct equity interest in the combined company .,neutral,2018-10-08,AAPL
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",negative,2018-10-08,TSLA
"Following the transaction , Tulikivi restructured its operations into the Soapstone Fireplaces Business , Natural Stone Product Business and Ceramic Products Business units .",neutral,2018-10-08,AAPL
"M-real , which is part of Finnish paper maker Metsaliitto Group , is due to release its second-quarter report at around 12:00 EET on 5 August 2010 .",neutral,2018-10-08,NVDA
Currency conversions are based on exchange rates at the time of the deal .,neutral,2018-10-09,TSLA
Return on investment was 16.6 % compared to 15.8 % in 2004 .,positive,2018-10-09,AAPL
Rental of building equipment accounted for 88 percent of the operating income .,neutral,2018-10-10,TSLA
The new policy was also aimed at making the companies more profitable and competitive .,positive,2018-10-10,AAPL
"ADPnews - Jun 30 , 2009 - Finnish stainless steel maker Outokumpu Oyj HEL : OUT1V said yesterday it signed a three-year EUR 900 million USD 1.3 bn revolving credit facility .",positive,2018-10-11,AAPL
"Finnish Metso will supply new wood handling and bleaching lines , as well as a rebuild of the kraft liner washing line for Klabin 's Tel+maco Borba mill in the Brazilian state of Paran+è .",positive,2018-10-12,TSLA
"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .",positive,2018-10-15,AAPL
Currency conversions are based on exchange rates at the time of the deal .,neutral,2018-10-15,NVDA
"The RME from Telcontar enables the handset to calculate the best route and includes support for user-defined routes , feature navigability and multi-modal routing such as via foot and ferry .",neutral,2018-10-16,TSLA
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,positive,2018-10-16,AAPL
"According to HKScan Finland , the plan is to increase J+Ærvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",positive,2018-10-17,NVDA
"At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company - s shares outstanding .",neutral,2018-10-17,AAPL
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products , and operates in Finland .",neutral,2018-10-17,NVDA
"The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products .",neutral,2018-10-18,NVDA
"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .",negative,2018-10-19,TSLA
"The Group 's consolidated net sales for 2008 totaled 3.4 billion euros and it employs approximately 13,000 persons .",neutral,2018-10-19,NVDA
"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .",positive,2018-10-19,TSLA
These module products will be available for trials during 3Q-07 and for volume deliveries during 4Q-07 .,neutral,2018-10-23,TSLA
The current reference grade instruments are challenging to operate due to their high price and complexity for routine use .,negative,2018-10-24,TSLA
The increase range will vary up to 10 % .,neutral,2018-10-25,NVDA
These six agreements are the company 's first customer acquisitions in India since taking over TVS Electronics ' contract manufacturing facility in Jun 2007 .,neutral,2018-10-25,TSLA
The order also includes extensive maintenance work of a shoe press delivered by Vaahto in 2001 .,neutral,2018-10-26,AAPL
It inspects the companys strategic strengths and weaknesses .,neutral,2018-10-26,TSLA
